route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
18da16ddc76af4298946910a95e42de7,21065,1256959,Valga bussijaam,Antsla - Vilaski - Valga bussijaam,A>B,55216,0
18da16ddc76af4298946910a95e42de7,26348,1256960,Valga bussijaam,Antsla - Vilaski - Valga bussijaam,A>B,55216,0
fc1ab0be056476a5086df663d6278597,21456,1879050,Otepää,Valga - Keeni - Puka - Arula - Otepää,A>B,42778,0
239a9d65950b35e7cd6388b6aaca3177,21459,1879051,Otepää,Valga - Puka - Otepää,A>B,42777,0
ba31af4278719ed9de7602f78efa19e6,21463,1519450,Valga bussijaam,Otepää - Sihva - Keeni - Sangaste - Valga,A>C1>B,55319,0
18c28e3851af5ac5441c38978ed5348c,21467,1424392,Antsla,Valga - Lüllemäe - Antsla,A>B,47133,0
18c28e3851af5ac5441c38978ed5348c,21467,1424393,Valga bussijaam,Antsla - Valga bussijaam,B>A,47134,0
c8a34003423418b3b301cf9296e09af9,21477,884345,Tõrva,Valga - Tõrva,A>B,40946,0
a32f7d6db0add02aff573cc92dcbe5f0,21940,1862389,Tallinna bussijaam,Riia - Pärnu - Tallinn,A>B,,0
a32f7d6db0add02aff573cc92dcbe5f0,59390,1862390,Tallinna bussijaam,Riia - Pärnu - Tallinn,A>B,,0
a32f7d6db0add02aff573cc92dcbe5f0,255241,1863273,Tallinna bussijaam,Riia - Pärnu - Tallinn,A>B,,0
a32f7d6db0add02aff573cc92dcbe5f0,255242,1863276,Tallinna bussijaam,Riia - Pärnu - Tallinn,A>B,,0
a32f7d6db0add02aff573cc92dcbe5f0,255243,1863278,Tallinna bussijaam,Riia - Pärnu - Tallinn,A>B,,0
a32f7d6db0add02aff573cc92dcbe5f0,255244,1863279,Tallinna bussijaam,Riia - Pärnu - Tallinn,A>B,,0
a32f7d6db0add02aff573cc92dcbe5f0,21940,1862388,Riia,Tallinn - Pärnu - Riia,B>A,,0
a32f7d6db0add02aff573cc92dcbe5f0,59390,1862391,Riia,Tallinn - Pärnu - Riia,B>A,,0
a32f7d6db0add02aff573cc92dcbe5f0,255241,1863274,Riia,Tallinn - Pärnu - Riia,B>A,,0
a32f7d6db0add02aff573cc92dcbe5f0,255242,1863275,Riia,Tallinn - Pärnu - Riia,B>A,,0
a32f7d6db0add02aff573cc92dcbe5f0,255243,1863277,Riia,Tallinn - Pärnu - Riia,B>A,,0
a32f7d6db0add02aff573cc92dcbe5f0,255244,1863280,Riia,Tallinn - Pärnu - Riia,B>A,,0
1517ddb319b09329bddffed350023431,22090,1942379,Tõrva,Riiska-Taagepera-Tõrva,A>B,46254,0
106372a735c56551a7e8efeaab7d596b,67751,912030,Valga bussijaam,Otepää - Puka - Keeni - Valga,A>B,42698,0
